T,D,S,phi_cvar,l_tds
0,0,EVT_54,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_55,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_56,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_57,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_58,-0.0,0.0
0,0,EVT_59,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_60,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_61,0.0,0.0
0,0,EVT_62,-1.1641532356165829e-11,-1.1641532182693482e-11
0,0,EVT_63,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_64,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_65,0.011887198511976749,0.011887198511976746
0,0,EVT_66,-1.7462298967929613e-11,-1.7462298274040225e-11
0,0,EVT_67,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_68,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_69,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_70,0.030057799772475847,0.030057799772475836
0,0,EVT_71,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_72,-0.0,0.0
0,0,EVT_73,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_74,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_75,-1.7462297233206137e-11,-1.7462298274040225e-11
0,0,EVT_76,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_77,-0.0,0.0
0,0,EVT_78,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_79,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_80,-1.1641534958251043e-11,-1.1641532182693482e-11
0,0,EVT_81,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_82,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_83,0.0014443198777734714,0.0014443198777734714
0,0,EVT_84,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_85,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_86,-0.0,0.0
0,0,EVT_87,-0.0,0.0
0,0,EVT_88,0.02875279850559309,0.02875279850559309
0,0,EVT_89,-1.7462298967929613e-11,-1.7462298274040225e-11
0,0,EVT_90,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_91,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_92,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_93,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_94,-1.1641534958251043e-11,-1.1641532182693482e-11
0,0,EVT_95,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_96,-0.0,0.0
0,0,EVT_97,-0.0,0.0
0,0,EVT_98,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,EVT_99,-5.820766091346741e-12,-5.820766091346741e-12
0,0,EVT_100,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_101,-0.0,0.0
0,0,EVT_102,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_103,-1.7462298274040225e-11,-1.7462298274040225e-11
0,0,EVT_104,-0.0,0.0
0,0,EVT_105,-2.305023372173308e-09,-2.305023372173312e-09
0,0,EVT_106,-0.0,0.0
0,0,EVT_107,0.0942675992671866,0.0942675992671866
0,0,EVT_108,0.008665920000057614,0.008665920000057614
0,0,EVT_109,-2.3283064365386964e-11,-2.3283064365386964e-11
0,0,EVT_110,-1.1641532182693482e-11,-1.1641532182693482e-11
0,0,HILP_0,1.7800902989692986,1.7800902989692986
0,0,HILP_1,-0.0,0.0
0,1,0,0.0,0.0
0,1,LN_R_1,-0.0,0.0
0,1,LN_R_2,-0.0,0.0
0,1,LN_R_3,-0.0,0.0
0,1,LN_R_4,-0.0,0.0
0,1,LN_R_5,-1.1641532356165829e-11,-1.1641532182693482e-11
0,1,LN_R_6,-0.0,0.0
0,1,LN_R_7,-1.1641532356165829e-11,-1.1641532182693482e-11
0,1,LN_R_8,-0.0,0.0
0,1,LN_R_9,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_10,-0.0,0.0
0,1,LN_R_11,-0.0,0.0
0,1,LN_R_12,-1.1641531488804091e-11,-1.1641532182693482e-11
0,1,LN_R_13,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_14,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_15,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_16,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_17,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_18,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_19,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_20,-1.1641533223527567e-11,-1.1641532182693482e-11
0,1,LN_R_21,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_22,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_23,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_24,-0.0,0.0
0,1,LN_R_25,-0.0,0.0
0,1,LN_R_26,-0.0,0.0
0,1,LN_R_27,-0.0,0.0
0,1,LN_R_28,-0.0,0.0
0,1,LN_R_29,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_30,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_31,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_32,-0.0,0.0
0,1,LN_R_33,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_34,0.0007359999988693745,0.0007359999988693745
0,1,LN_R_35,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_36,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_37,-1.1641534958251043e-11,-1.1641532182693482e-11
0,1,LN_R_38,0.0010580000001937152,0.0010580000001937152
0,1,LN_R_39,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_40,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_41,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_42,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_43,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_44,-1.1641534958251043e-11,-1.1641532182693482e-11
0,1,LN_R_45,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_46,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_47,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_48,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_49,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_50,-1.1641532182693482e-11,-1.1641532182693482e-11
0,1,LN_R_51,-1.1641532356165829e-11,-1.1641532182693482e-11
0,1,LN_R_52,-1.1641531488804091e-11,-1.1641532182693482e-11
0,1,LN_R_53,0.0,0.0
