state,rel_inv,island,H,soc_aux
state_1,0,0,2,0.0
state_1,0,0,26,0.0
state_2,0,0,26,0.0
state_3,0,0,26,0.0
state_4,0,0,26,0.0
state_6,0,0,26,0.0
state_8,0,0,26,0.0
state_10,0,0,26,0.10110240000067305
state_11,0,0,2,0.0
state_11,0,0,26,0.0
state_24,0,0,2,0.0
state_24,0,0,26,0.0
state_25,0,0,19,0.0
state_25,0,0,20,0.09745750001457054
state_26,0,0,2,0.0
state_26,0,0,19,0.0
state_26,0,0,20,0.0
state_26,0,0,26,0.0
state_27,0,0,20,0.09745750001457054
state_28,0,0,2,0.0
state_28,0,0,19,0.0
state_28,0,0,20,0.0
state_28,0,0,26,0.0
state_32,0,0,26,0.10110240000067305
state_55,0,1,26,0.0
state_55,4,0,26,0.0
state_55,8,0,26,0.0
state_55,12,0,26,0.0
state_55,16,0,26,0.0
state_55,20,0,26,0.0
state_55,24,0,26,0.0
state_55,28,0,26,0.0
state_55,32,0,26,0.0
state_55,36,0,26,0.10110240000067305
state_55,40,0,26,0.0
state_55,44,0,26,0.0
state_55,48,0,26,0.0
state_55,52,0,26,0.0
state_55,56,0,26,0.0
state_55,60,0,26,0.0
state_57,0,0,2,0.0
state_57,0,0,19,0.0
state_57,0,0,20,0.0
state_57,0,0,26,0.0
state_57,1,0,2,0.0
state_57,1,0,19,0.0
state_57,1,0,20,0.0
state_57,1,0,26,0.0
state_58,0,0,2,2.9594870864323412e-09
state_58,0,0,19,-2.9594870864323416e-09
state_58,0,0,20,0.0
state_58,0,0,26,0.0
state_58,1,0,2,0.0
state_58,1,0,19,0.0
state_58,1,0,20,0.0
state_58,1,0,26,0.0
state_58,2,0,2,0.0
state_58,2,0,19,0.0
state_58,2,0,20,0.0
state_58,2,0,26,0.0
state_58,3,0,2,0.0
state_58,3,0,19,0.0
state_58,3,0,20,0.0
state_58,3,0,26,0.0
state_59,0,0,26,0.0
state_59,0,1,19,0.0
state_59,0,1,20,0.0
state_59,1,0,19,0.0
state_59,1,0,20,0.09745750001457054
state_59,2,0,19,0.0
state_59,2,0,20,0.0
state_59,3,0,19,0.0
state_59,3,0,20,0.0
state_59,4,0,19,0.0
state_59,4,0,20,0.0
state_59,5,0,19,0.0
state_59,5,0,20,0.0
state_59,6,0,19,0.0
state_59,6,0,20,0.0
state_59,7,0,19,0.0
state_59,7,0,20,0.0
state_59,8,0,19,0.0
state_59,8,0,20,0.0
state_59,9,0,19,0.0
state_59,9,0,20,0.0
state_59,10,0,19,0.0
state_59,10,0,20,0.0
state_59,11,0,19,0.0
state_59,11,0,20,0.0
state_59,12,0,19,0.0
state_59,12,0,20,0.0
state_59,13,0,19,0.0
state_59,13,0,20,0.0
state_59,14,0,19,0.0
state_59,14,0,20,0.0
state_59,15,0,19,0.0
state_59,15,0,20,0.0
state_59,16,0,19,0.0
state_59,16,0,20,0.0
state_59,17,0,19,0.0
state_59,17,0,20,0.0
state_59,18,0,19,0.0
state_59,18,0,20,0.0
state_59,19,0,19,0.0
state_59,19,0,20,0.0
state_59,20,0,19,0.0
state_59,20,0,20,0.0
state_59,21,0,19,0.0
state_59,21,0,20,0.0
state_59,22,0,19,0.0
state_59,22,0,20,0.0
state_59,23,0,19,0.0
state_59,23,0,20,0.0
state_59,24,0,19,0.0
state_59,24,0,20,0.0
state_59,25,0,19,0.0
state_59,25,0,20,0.0
state_59,26,0,19,0.0
state_59,26,0,20,0.0
state_59,27,0,19,0.0
state_59,27,0,20,0.0
state_59,28,0,19,0.0
state_59,28,0,20,0.0
state_59,29,0,19,0.0
state_59,29,0,20,0.0
state_59,30,0,19,0.0
state_59,30,0,20,0.0
state_59,31,0,19,0.0
state_59,31,0,20,0.0
state_61,0,0,26,0.0
state_61,1,0,26,0.0
state_61,2,0,26,0.0
state_61,3,0,26,0.0
state_61,4,0,26,0.0
state_61,5,0,26,0.0
state_61,6,0,26,0.0
