N,T,D,v
4,8,1,1.0240122858517289
4,8,2,1.0180060455910978
4,8,3,0.9565945738664359
4,9,0,0.9661427461878158
4,9,1,0.9624167106261148
4,9,2,0.9943350273787419
4,9,3,1.0063475079000037
4,10,0,0.9739673676398254
4,10,1,1.0180060455910978
4,10,2,1.0119998053304666
4,10,3,0.959447016190495
4,11,0,0.9739673676398254
4,11,1,1.0180060455910978
4,11,2,1.0119998053304666
4,11,3,0.959447016190495
4,12,0,0.9739673676398254
4,12,1,1.0180060455910978
4,12,2,1.0119998053304666
4,12,3,0.959447016190495
4,13,0,0.9732352264077351
4,13,1,0.961825457111493
4,13,2,0.9646778994355543
4,13,3,1.014679601863975
4,14,0,0.9765616701348575
4,14,1,0.965151900838616
4,14,2,0.9680043431626768
4,14,3,0.9625575983435839
4,15,0,0.9765616701348575
4,15,1,0.965151900838616
4,15,2,0.9680043431626768
4,15,3,0.9625575983435839
4,16,0,0.9765616701348575
4,16,1,0.965151900838616
4,16,2,0.9680043431626768
4,16,3,0.9625575983435839
4,17,0,0.9765616701348575
4,17,1,0.965151900838616
4,17,2,0.9680043431626768
4,17,3,0.9625575983435839
4,18,0,1.0374154929701536
4,18,1,0.9817089058936117
4,18,2,0.9845613482176718
4,18,3,1.0423638715282901
4,19,0,1.0180060455910978
4,19,1,1.0180060455910978
4,19,2,1.0119998053304666
4,19,3,0.959447016190495
4,20,0,1.0277197083848069
4,20,1,0.9660068810476338
4,20,2,0.9631544387235732
4,20,3,1.0279549024512546
4,21,0,0.959447016190495
4,21,1,1.0180060455910978
4,21,2,0.959447016190495
4,21,3,0.959447016190495
4,22,0,0.960301996399514
4,22,1,0.960301996399514
4,22,2,0.960301996399514
4,22,3,1.0339611427118853
4,23,0,0.960301996399514
4,23,1,0.960301996399514
4,23,2,0.960301996399514
4,23,3,1.0339611427118853
5,0,0,1.0361196922129927
5,0,1,1.0361196922129927
5,0,2,1.0361196922129927
5,0,3,1.0361196922129927
5,1,0,1.0361196922129927
5,1,1,1.0361196922129927
5,1,2,1.0361196922129927
5,1,3,1.0361196922129927
5,2,0,1.0361196922129927
5,2,1,1.0361196922129927
5,2,2,1.0361196922129927
5,2,3,1.0361196922129927
5,3,0,1.0361196922129927
5,3,1,1.0361196922129927
5,3,2,1.0361196922129927
5,3,3,1.0361196922129927
5,4,0,1.0361196922129927
5,4,1,1.0361196922129927
5,4,2,1.0361196922129927
5,4,3,1.0361196922129927
5,5,0,1.0166199466929862
5,5,1,0.9569688240236834
5,5,2,0.9578187259195957
5,5,3,1.0227077939481304
