L_e,T,D,f_l
0,21,1,0.004953
0,21,2,0.0039624000000000005
0,21,3,0.0039624000000000005
0,22,0,0.0029717999999999997
0,22,1,0.0029717999999999997
0,22,2,0.0029717999999999997
0,22,3,0.0029717999999999997
0,23,0,0.0029717999999999997
0,23,1,0.0029717999999999997
0,23,2,0.0029717999999999997
0,23,3,0.0029717999999999997
1,0,0,-0.0437506000000374
1,0,1,-0.0437506000000374
1,0,2,-0.0437506000000374
1,0,3,-0.0437506000000374
1,1,0,-0.0437506000000374
1,1,1,-0.0437506000000374
1,1,2,-0.0437506000000374
1,1,3,-0.0437506000000374
1,2,0,-0.0437506000000374
1,2,1,-0.0437506000000374
1,2,2,-0.0437506000000374
1,2,3,-0.0437506000000374
1,3,0,-0.0437506000000374
1,3,1,-0.0437506000000374
1,3,2,-0.0437506000000374
1,3,3,-0.0437506000000374
1,4,0,-0.0437506000000374
1,4,1,-0.0437506000000374
1,4,2,-0.0437506000000374
1,4,3,-0.0437506000000374
1,5,0,-0.10210488000017202
1,5,1,-0.10210488000017204
1,5,2,-0.12117178000017201
1,5,3,-0.08303798000017201
1,6,0,-0.08188440000003741
1,6,1,-0.08188440000003741
1,6,2,-0.10095130000003738
1,6,3,-0.06281750000003739
1,7,0,-0.08188440000003741
1,7,1,-0.08188440000003741
1,7,2,-0.10095130000003738
1,7,3,-0.06281750000003739
1,8,0,-0.08188440000003741
1,8,1,-0.08188440000003741
1,8,2,-0.10095130000003738
1,8,3,-0.06281750000003739
1,9,0,-0.22777010000037393
1,9,1,-0.1515025000003739
1,9,2,-0.1705694000003739
1,9,3,-0.13243560000037394
1,10,0,-0.1772189000000374
1,10,1,-0.10095130000003738
1,10,2,-0.12001820000003738
1,10,3,-0.08188440000003741
1,11,0,-0.1772189000000374
1,11,1,-0.10095130000003738
1,11,2,-0.12001820000003738
1,11,3,-0.08188440000003741
1,12,0,-0.1772189000000374
1,12,1,-0.10095130000003738
1,12,2,-0.12001820000003738
1,12,3,-0.08188440000003741
1,13,0,-0.20639604000010467
1,13,1,-0.1301284400001047
1,13,2,-0.1491953400001047
1,13,3,-0.11106154000010468
1,14,0,-0.19628580000003737
1,14,1,-0.12001820000003738
1,14,2,-0.1390851000000374
1,14,3,-0.10095130000003738
1,15,0,-0.19628580000003737
1,15,1,-0.12001820000003738
1,15,2,-0.1390851000000374
1,15,3,-0.10095130000003738
1,16,0,-0.19628580000003737
1,16,1,-0.12001820000003738
1,16,2,-0.1390851000000374
1,16,3,-0.10095130000003738
1,17,0,-0.19628580000003737
1,17,1,-0.12001820000003738
1,17,2,-0.1390851000000374
1,17,3,-0.10095130000003738
1,18,0,-0.0454073888885565
1,18,1,-0.0454073888885565
1,18,2,-0.06447428888855651
1,18,3,-0.026340488888554777
1,19,0,-0.10095130000003738
1,19,1,-0.10095130000003738
1,19,2,-0.12001820000003738
1,19,3,-0.08188440000003741
1,20,0,-0.07127488888885566
1,20,1,-0.09034178888885563
1,20,2,-0.07127488888885566
1,20,3,-0.07127488888885566
1,21,0,-0.08188440000003741
1,21,1,-0.10095130000003738
1,21,2,-0.08188440000003741
1,21,3,-0.08188440000003741
1,22,0,-0.052207988888855646
1,22,1,-0.052207988888855646
1,22,2,-0.052207988888855646
1,22,3,-0.052207988888855646
1,23,0,-0.052207988888855646
1,23,1,-0.052207988888855646
1,23,2,-0.052207988888855646
1,23,3,-0.052207988888855646
2,0,0,0.036562400000037396
2,0,1,0.036562400000037396
2,0,2,0.036562400000037396
2,0,3,0.036562400000037396
2,1,0,0.036562400000037396
2,1,1,0.036562400000037396
2,1,2,0.036562400000037396
2,1,3,0.036562400000037396
2,2,0,0.036562400000037396
2,2,1,0.036562400000037396
2,2,2,0.036562400000037396
2,2,3,0.036562400000037396
2,3,0,0.036562400000037396
2,3,1,0.036562400000037396
2,3,2,0.036562400000037396
2,3,3,0.036562400000037396
2,4,0,0.036562400000037396
2,4,1,0.036562400000037396
2,4,2,0.036562400000037396
2,4,3,0.036562400000037396
2,5,0,0.08772848000017201
2,5,1,0.08772848000017203
2,5,2,0.10320128000017201
2,5,3,0.072255680000172
2,6,0,0.0675080000000374
2,6,1,0.0675080000000374
2,6,2,0.08298080000003738
2,6,3,0.052035200000037383
2,7,0,0.0675080000000374
2,7,1,0.0675080000000374
2,7,2,0.08298080000003738
2,7,3,0.052035200000037383
2,8,0,0.0675080000000374
2,8,1,0.0675080000000374
2,8,2,0.08298080000003738
2,8,3,0.052035200000037383
2,9,0,0.19542320000037391
2,9,1,0.1335320000003739
2,9,2,0.1490048000003739
2,9,3,0.11805920000037393
2,10,0,0.1448720000000374
2,10,1,0.08298080000003738
2,10,2,0.09845360000003738
2,10,3,0.0675080000000374
2,11,0,0.1448720000000374
2,11,1,0.08298080000003738
2,11,2,0.09845360000003738
2,11,3,0.0675080000000374
2,12,0,0.1448720000000374
2,12,1,0.08298080000003738
2,12,2,0.09845360000003738
2,12,3,0.0675080000000374
2,13,0,0.17045504000010467
2,13,1,0.1085638400001047
2,13,2,0.1240366400001047
2,13,3,0.09309104000010468
2,14,0,0.16034480000003737
2,14,1,0.09845360000003738
2,14,2,0.1139264000000374
2,14,3,0.08298080000003738
2,15,0,0.16034480000003737
2,15,1,0.09845360000003738
2,15,2,0.1139264000000374
2,15,3,0.08298080000003738
2,16,0,0.16034480000003737
2,16,1,0.09845360000003738
2,16,2,0.1139264000000374
2,16,3,0.08298080000003738
2,17,0,0.16034480000003737
2,17,1,0.09845360000003738
2,17,2,0.1139264000000374
2,17,3,0.08298080000003738
2,18,0,0.027436888888556502
2,18,1,0.027436888888556502
2,18,2,0.04290968888855651
2,18,3,0.011964088888554773
2,19,0,0.08298080000003738
2,19,1,0.08298080000003738
2,19,2,0.09845360000003738
2,19,3,0.0675080000000374
2,20,0,0.05689848888885565
2,20,1,0.07237128888885563
2,20,2,0.05689848888885565
2,20,3,0.05689848888885565
2,21,0,0.0675080000000374
2,21,1,0.08298080000003738
2,21,2,0.0675080000000374
2,21,3,0.0675080000000374
2,22,0,0.041425688888855644
2,22,1,0.041425688888855644
2,22,2,0.041425688888855644
2,22,3,0.041425688888855644
2,23,0,0.041425688888855644
2,23,1,0.041425688888855644
2,23,2,0.041425688888855644
2,23,3,0.041425688888855644
3,0,0,0.032549200000037394
3,0,1,0.032549200000037394
3,0,2,0.032549200000037394
3,0,3,0.032549200000037394
3,1,0,0.032549200000037394
3,1,1,0.032549200000037394
3,1,2,0.032549200000037394
3,1,3,0.032549200000037394
3,2,0,0.032549200000037394
3,2,1,0.032549200000037394
3,2,2,0.032549200000037394
3,2,3,0.032549200000037394
3,3,0,0.032549200000037394
3,3,1,0.032549200000037394
3,3,2,0.032549200000037394
3,3,3,0.032549200000037394
3,4,0,0.032549200000037394
3,4,1,0.032549200000037394
3,4,2,0.032549200000037394
3,4,3,0.032549200000037394
3,5,0,0.07970208000017201
3,5,1,0.07970208000017202
3,5,2,0.09316828000017201
3,5,3,0.066235880000172
3,6,0,0.059481600000037396
3,6,1,0.059481600000037396
3,6,2,0.07294780000003738
3,6,3,0.046015400000037385
3,7,0,0.059481600000037396
3,7,1,0.059481600000037396
3,7,2,0.07294780000003738
3,7,3,0.046015400000037385
3,8,0,0.059481600000037396
3,8,1,0.059481600000037396
3,8,2,0.07294780000003738
3,8,3,0.046015400000037385
3,9,0,0.1773638000003739
3,9,1,0.1234990000003739
3,9,2,0.13696520000037388
3,9,3,0.11003280000037392
3,10,0,0.12681260000003738
3,10,1,0.07294780000003738
3,10,2,0.08641400000003738
3,10,3,0.059481600000037396
